a 一
mbwy 㹀 牸 等边 𤙯 𤛮
mbwz 𢗩 𥭡
mbx 籌
mbxa 牛马
mbxb 犍
mbxe 𤚄
mbxi 牛皮 𤙎 𤙶
mbxj 牾 𤚫 𤚬 𥭠
mbxk 𥶾
mbxl 𤚤 𤛑 𥂷
mbxm 𥭺
mbxr 𤙌
mbxs 叏
mbxw 𤚋
mbxx 犌
mby 廷 笻 筇 𥳉 𨙼
mbybk 看起来
mbyd 𥬣
mbye 特异
mbyg 頲 颋
mbyi 㸭 牠 𠒒
mbym 牞 犜 𤛳 𥲯
mbyn 𤛊 𤛹
mbync 第二阶段
mbyr 𣢳
mbys 㼡 牣 𤮬
mbyt 𤘞
mbyu 𤛨
mbyx 𤚆 𤚿 𥴆
mbyy 䎋 𠦚 𤘕 𤙒 𤙗 𤚺 𤛣 𦐝 𦐨
mbyz 𤘗
mbz 丢 𣬛 𥫡 𥮳
mbza 𤙆
mbzb 𡊥
mbzf 𤚊
mbzfk 手动档
mbzh 犧 𤜐 𥬻
mbzi 㸨 𠚂
mbzjj 制动器
mbzk 𤛅 𤛜
mbzl 篕
mbzm 㸻 䇘 𤘙
mbzme 制动缸
mbzpx 制动钮
mbzq 𤙍 𥷆
mbzr 特约 𤛦
mbzs 丢 𠫟 𥬀 𥬔
mbzw 𤜓
mbzx 𤘸 𥷣
mbzy 牛奶 牳 特级 等级 𨛀
mbzz 𣙸 𤘳 𤛡
mc 生
mcad 生于
mcag 𤯻
mcar 生死 生殖
mcasj 管理干部
mcau 生平
mcbb 筹款
mcbk 生来
mcbkv 生理盐水
mcbnm 管理工作
mcbz 生动
mcc 篲
mccb 𪽰
mccc 𥷨
mcce 𤯨
mcch 生长
mcck 生理
mccq 𩇛
mccu 𩢫
mccx 篲
mccy 𤯺
mcd 筹
mcdbm 第三者
mcdby 手球场 篮球场
mcde 筹措
mcdik 第三步
mcdrj 第三名
mcds 筹
mcdsy 第三方
mcdtr 第三次
mcdwe 篮球赛
mce 䇯 筭 籍
mcek 籍
mceko 第三世界
mcer 生芪 𤰂
mcex 𤯙
mcffr 管理机构
mcfl 𤯡
mcfml 管理机制
mcfq 生机
mcfx 生根
mcfyx 管理权限
mcfz 氰酸
mcg 𥑦
mcga 生硬
mcgd 𥮅
mcgi 生存
mcgo 𩓕
mcgs 生态
mcgx 筹码
mch 𥮲
mcheq 生长期
mchk 筹划
mchsv 生长率
mchv 生成
mcid 𪽮
mcih 𤯮
mcii 𥳧
mcix 𪯡
mcji 筹足
mck 筙
mcka 生日
mckau 管理水平
mckg 生辉
mckjl 管理员
mckl 𪽱
mckm 𥰚
mckpv 管理所
mckq 生肖 𥵦
mckri 管理处
mckv 𫃁
mckvw 物理学 生理学
mckxy 管理局
mcky 甥
mcl 眚 積
mcld 生财
mclg 𥵇
mclgi 物理内存
mclj 𥶤
mclo 箦 簀 𫃓
mcmc 甡
mcmf 𥱧
mcmfe 称王称霸
mcmg 𥯪
mcmh 𣬺 𤯫
mcmk 𠞏 𫃃
mcml 筹算
mcmm 㽓
mcmo 𤯛
mcmq 甧
mcmr 生物 𥭯
mcmtv 第三季度
mcmy 生气 𥲊
mcne 筹借
mcnf 筹集
mcnl 𤯣
mcnml 管理体制
mcnr 氰化
mcnx 生僻
mco 箺 𥬟
mcoa 生命
mcodm 管理人才
mcoj 𤯬
mcojl 管理人员
mcok 𥷸
mcow 䉁
mcpm 生铁 生锈
mcpx 𥶹
mcq 箐 𤯝
mcqb 生猪
mcqd 𥬶
mcqs 𤯞
mcqy 生猛 𤯸
mcrh 𧘰
mcrj 𤯬
mcrk 筹备
mcrna 管理条例
mcro 𣢡
mcrs 𤯰
mcrz 䲼
mcse 生计
mcshb 管理方式
mcsk 生意
mcsku 第三产业
mcsm 生产
mcso 生效
mcstl 管理部门
mcsvb 管理方法
mcsy 㔟
mcsz 生育
mcta 生病
mcte 𤯘
mctr 筹资
mcu 篤 𩡨
mcun 生怕
mcuo 𤇓
mcupe 物理性质
mcuq 生前
mcvg 生涯 生源
mcvm 生活
mcwz 𢘡 𢤷
mcxg 𥵫
mcxh 𡳽
mcxi 生疏
mcxs 箃
mcxu 𥶬
mcxw 𥶙
mcy 𥮇 𥯘 𨚥 𨛙
mcylv 管理费用
mcym 𠡏 𤯪
mcync 第三阶段
mcyo 筹办
mcyvb 管理办法
mcyx 筹建
mcyy 𤯜
mcz 𥭙 𥱨
mczl 籍贯
mczm 𤯕
mcznc 科班出身
mczsz 生长发育
mczxo 管理经验
mczy 生母 𤯟
md 手
mdaa 
mdab 𢪙
mdac 拜
mdai 手下 𥳳
mdbg 𢴽
mdbi 手工
mdbj 手鼓
mdbnm 科技工作
mdbr 𢴝 𪮗
mdbu 籜
mdcb 𥲶
mdcc 𥸓
mdcd 手球
mdcr 手表
mdcy 𨞲
mddb 手持
mdddf 手扶拖拉机
mddk 手抄 手提
mddp 手摇
mddq 手势 手执
mddr 手指
mde 箝
mdeb 箝
mdef 𪮤
mdega 科技厅
mdejb 科技园
mdek 簎
mdeko 科技界
mdeo 𢵬
mdeow 科技馆
mdetr 科技奖
mdexy 科技局
mdey 手艺
mdeya 科技司
mdfa 手杖 手柄
mdfb 𥱴
mdfd 𥴮
mdfj 𢬣
mdfo 手枪
mdfq 手机
mdfs 手术
mdgb 𢀠
mdgc 手套
mdgdk 生拉硬拽
mdggc 生搬硬套
mdgge 气势磅礴
mdgu 𥷐
mdgvw 科技大学
mdh 箍
mdha 手感
mdhc 𩣣 𩣨
mdhg 𩒰
mdhi 䖸
mdhkf 科技成果
mdhl 箍
mdhm 我
mdhn 𨿍
mdhr 手软 鵝 鵞 鹅
mdii 𧒎
mdij 𥮠
mdj 筘
mdjc 䉗
mdjd 𪿱
mdji 手足
mdjl 𢬚 𢲤
mdjm 搿
mdjv 手中
mdjy 箉 𡦛
mdka 𢷆 𥷪
mdkd 𠛃 𢩬
mdkfa 手抄本
mdkk 𢯣
mdkq 䈰
mdkry 手提包
mdkw 手掌 𪮦
mdkz 手电
mdl 看
mdlb 簼 𢲱
mdlm 𢰿
mdln 𢶟
mdlq 𣪦
mdma 𢫶
mdmd 𢪒
mdmh 𢩷
mdml 𪮩
mdmm 掱
mdmod 委托人
mdms 手稿 𢪳 𥮁
mdmsj 科技知识
mdmsy 委托方
mdnc 手段
mdne 篺
mdnh 𪮀
mdnk 𢫗
mdnnw 科技信息
mdnx 䉟
mdobh 科技领域
mdodm 科技人才
mdok 𥶪
mdom 𢬛
mdonm 科技合作
mdoo 籡 𢪐 𢴞
mdosf 科技创新
mdpb 手铐
mdpd 䇽
mdpl 𪯕
mdpz 𥱮
mdq 𦙚
mdqb 手脚
mdqf 𣓞
mdqgj 等势面
mdqm 𢭥
mdqpq 气垫船
mdqq 手册
mdquy 稳操胜券
mdqw 手腕
mdr 籀
mdrb 𢧲
mdrm 𥰏
mdro 𢪥
mdrw 䉥
mdry 𥮼
mdsj 𢮏
mdso 𢪖
mdsw 𥳺
mdsy 手记
mdtg 手头
mdtk 手闸
mdtr 手背
mdug 𢵩
mduk 𥲵
mdul 𪯁
mdv 毬
mdvb 手法
mdvs 𥭑
mdvv 𠂌
mdvvo 气势汹汹
mdvwr 科技兴农
mdwa 手写
mdwl 𥲳
mdwnm 矫揉造作
mdwve 符拉迪沃斯托克
mdwz 手心
mdx 箨
mdxb 箨 𥲷
mdxj 手臂 𥴻
mdxk 籒
mdxkf 手提录影机
mdxm 𢭶
mdxo 𪮊
mdy 筢 𫒗
mdyd 𢩥
mdyi 筢
mdyk 籀
mdym 劧 掰
mdyn 𥷘 𫂵
mdynb 科技队伍
mdyy 𢲒 𫆝
mdzbo 特拉维夫
mdze 手续
mdzj 手绢
mdzz 𢱞
me 千
mea 簧
mead 𥷯
meae 簳
meag 𥵿
meagr 千真万确
mean 千百 𠃇
meaoz 垂直平分线
mear 垂死
meay 千万
meaz 千瓦 𡷩
meb 䇞 垂 簊 𡉼
mebc 𩣷
mebfz 氨基酸
mebi 𠂯
mebk 𠝤 𠝶 𪟑
mebl 𨤯
mebm 𥠭
mebn 千赫 𡑈 𨿠 𨿿 𩁳
mebp 𣂩
mebr 䳠 䳯
mebsn 短期培训
mebu 熏 𤋱
mebw 𢛲
meby 動 升起 舞场 郵 𨛘
mec 箕
mecec 毛茸茸
mecwc 稀世珍宝
mecy 𥵚
med 午 𠀆
medfa 移花接木
medj 缺损
meeb 垂
meej 千克 缺勤 𥯶
meel 垂直 𥳡
meeml 特克斯和凯科斯群岛
meep 甜菜
meer 𨤼
meex 㩾 𢻗
meexr 特克斯群岛
meez 𡸁 𦈼
mef 簙 𫂼
mefd 簙
mefqr 氨基树脂
mefyr 特古西加尔巴
meg 箬
mega 舞厅
megj 箬
megl 𥵵
mehj 𠳆
mehtm 积劳成疾
meij 缺点
meik 舞步
mein 𦥲
meir 午餐
meiv 升上
meix 㪓 敮
mej 䇢 氪 𥯒
meja 缺口
mejb 甜味
mejc 䈽
meji 垂足
mejj 甜品
mejn 𥷬
mejp 舞蹈
mejq 箶
mejr 𠂻
mejy 𨜲
mejz 𠚟
mek 簧 𢆍 𣅌
meka 籖 𫃡
mekb 千里 重 𨤶
mekd 𪟗
mekg 𥱹
mekhy 繁荣昌盛
mekk 濌 𠜕 𥲍
mekl 舞弊 𡮶
mekm 缺少 𡮓
meko 簧
mekr 㰱
mekv 缺水
mekx 𤿪
mel 篝
mela 升幅
melb 篝 𥱎 𥱏 𥲙
melc 𥮖
meld 䈒
melek 制黄贩黄
mell 千山
melm 午睡
melo 䈯
melsm 毛南族
mem 犕 𠄒
meme 簸箕
meml 缺血
memo 缺失
memu 千秋
memw 缺乏
memy 𡑈 𡼻
memz 𡣢 𥡭
men 穫
menb 臿 𦥛 𦥫
mene 升值
menf 午休 垂体 𣖄 𨤹
meng 千伏 𩔓
meni 𥵞
menk 𠝞
menpn 繁花似锦
menr 歃 缺货
mens 缺位
menx 籆 𥀈
meo 𥬹
meob 舞会 𡍴 𡏕
meobm 第十个五年计划
meod 𠂖
meoe 缺德
meoku 私营企业
meom 𥶭
meon 𥸁
meoo 𠧌 𥲈 𦦕
meop 午饭
meouv 短期行为
meoz 𠚏
mepa 午后 缺钙
mepd 千斤 簛 𥲲
mepff 穆斯林
mepr 垂钓
meq 𫃔
meqc 𤧧
meqm 䉈
mer 舞
merb 埀
merg 垂危
merj 𥰄
merk 𠝍
merl 𡹁
mero 篏 缺欠 𥳽
merq 𣪜 𪞵
merr 𥶂
meru 𥷀 𥷥
mery 㔞 𦫯 𨛽
merz 𩾭
mesh 𥭶
mesj 升高
mesk 缺课
mesm 升旗
mesn 午夜
mesr 垂询 𧜻
mesy 𫃟
mesya 牛蒡子
mesz 𥪵
metb 罐装
mete 缺席
metg 甜头 罐头
metk 午间
metl 缺门
metr 乖 舞姿
meu 無 穑
meue 𡐱
meuf 千米 𠂲
meug 甜美
meuh 缺憾
meul 𧸬
meuo 篝火
meuq 午前
meur 𪇑
meuut 氨基塑料
meuy 勳
mev 升
mevk 𠜫
mevkc 繁荣兴旺
mevr 千兆 𪜎
mevv 升 𥫠
mevw 升学
mevy 垂涎
mew 迁
mewf 𥮮 𨖲
mewk 午宴
mewl 𥲭
mewr 缺额 𥶃
mewvm 科索沃
meww 甜蜜
mewwc 稀世之宝
mewy 𫂰
mewyj 繁荣富强
mewz 忎 𥰼
mex 犊
mexg 𡙇
mexi 簸 𦦘 𨤴
mexr 𫓁
mexwr 千载难逢
mexx 𫓃
mexyy 垂直尾翼
meya 𠦚
meyb 𠡦
meyg 𪥦
meyk 千阳
meyl 𡼉
meym 㔓 簕
meyr 升降 缺陷
meys 甀 𠞕 𤭮
meyu 勲
meyum 季节性
meyw 憅
meyy 𦑝 𦑪
mez 笹 缺 𥯓
mezf 䈎 𥶺 𥷕
mezh 垂线
mezi 𠙹 𠙺
mezj 舞台
mezk 䉇
mezn 𡼻
mezo 𠏳
mezr 𣣨 𣣮
mezs 𥱕
mezvs 私营经济
mezx 𥀉
mezy 升级 𨜚
mf 禾
mfa 笨 𥝍
mfad 䄨 䅞 𥟳
mfae 䄯 秆 稈 𥝝 𥝯 𥤁
mfaf 秣 𩠿
mfag 𥠬 𥡼 𥣛
mfai 䅠 𣗱 𫂻
mfaj 䭲 秴 𠲆 𥞍 𥟏 𥠆 𥠫 𥵰 𫁡
mfak 䅉 穢 𥡳 𥡴 𫁱
mfal 䅪 稐 穨 𥢢 𥣧 𥶡 𩡞 𪐔
mfam 𣫽
mfan 𥟗 𥟞 𥲴
mfau 秤 𥲦
mfax 𩠻 𩡁
mfaxe 积极开展
mfaz 𥝑 𥣄 𪏱
mfb 篻 𥝟 𥮉 𥮊 𥯑
mfbb 䅅 𫙀
mfbd 秲 𥢜
mfbel 重要贡献
mfbg 穘 𡚕
mfbi 𥞟 𫁗
mfbj 秸 稠
mfbk 篻 𥞆 𥞊 𥟂
mfbn 𥝷 𥟝
mfbnm 重要工作
mfbo 䄮
mfbp 𨧭
mfbq 𥡩
mfbr 𥞠 𦓌 𫁦
mfbu 䆀 䆁 䵩 黧 𥞦 𥟨 𥢾 𥤗 𪒚 𪒺
mfby 𨛻
mfbz 䉙 秐 稏 策动 𥝜 𥞋 𥢘 𥢚 𪏳 𫁲
mfcb 䭰 𥴇 𪐃
mfcj 𩡔
mfcl 積 𫙅
mfcn 𥡟
mfco 𥠔
mfcr 𥟀 𥤂
mfcu 𥡗
mfcx 穝
mfd 篿 𥭛
mfds 篿 𡬟
mfdsm 重要措施
mfdz 笨拙
mfea 乗
mfeb 䅜 䅿 䈤 𥞈 𥞌
mfec 稘 穁 簯 𥤄
mfedb 积极支持
mfee 𥤑
mfeew 生机勃勃
mfeg 𥟼
mfeh 𥠏
mfei 𧎗
mfej 䅕 䉐 䵕 秙 稒 𣞴 𥟾 𪏻
mfek 䅦 剰 禾苗 稓 𥳯
mfeku 种植业
mfel 稙 馩 𥠙 𥠮 𥢊
mfem 𥟪 𥢟
mfeo 䆊 䆏 穓 𥣕 𥣢 𥤌
mfeq 𥟌
mfer 穣 穰 𥟕
mfes 䅒 䅸
mfeu 㷏
mfew 𥤠
mfex 秓
mfey 策勒
mff 箖 篥 𥝰
mffa 𥡑
mffb 䅺 秿 𥢻
mffd 𥟁 𥠵 𥡵 𥢎 𫃉
mfff 𥠲 𥢂 𪐎
mffg 穤 𥤃
mffj 䄽 𥟈 𥢇 𥤕 𥱛 𪐓 𫃘
mffk 䵔 𨋟 𩠼
mffl 𫃒
mffm 𥢖
mffr 𪅌
mffs 秫 𥡨
mffu 䊬 𥡤 𥡱 𥢕
mffw 穗
mfg 䄷 秧
mfga 秠
mfgd 䅶 𥝚 𥝛
mfge 𥡅
mfgg 稬 𡙾 𥢠
mfgi 𥝣
mfgj 𥞶 𪐌
mfgjd 重要原因
mfgl 嵆 嵇 稀 𥞎 𥞗
mfgm 𥠍
mfgo 䅡 𥠇
mfgp 䅟  𥡆
mfgs 䆌 諬 𥣘 𩡍 𩡗
mfgtv 积极态度
mfgu 𥠩 𥲦 𩡋
mfgw 穟
mfgx 𥟛 𩡖
mfgy 䄺 𥱺
mfgz 㛷 𥡊 𥡋
mfhb 秷
mfhc 𥱜
mfhg 䄾
mfhh 馢 𥟥 𥴈
mfhi 䄰
mfhk 策划 𥠶 𥢧
mfhl 篐
mfhm 𥠽
mfho 穖 𥮹
mfhp 𥱝
mfhr 穊 𥝪
mfhs 䄩 𥣫
mfhx 秬
mfhy 𥢲
mfi 𧉷
mfid 𥝒
mfih 𢨡
mfii 䄳
mfij 秥 黏 𥠯
mfik 稲
mfil 𥡧 𥢅 𥢆
mfim 秭
mfio 穥
mfiq 稰
mfir 𥞅
mfix 𢾦 𢾨 𢾽 𢿸 𥞐
mfiy 𥞘
mfiz 𥝽 𥣨 𫁥
mfj 㕿 䇴 䇿 和 𣏮
mfja 稢 稶
mfjc 程 𥠋 𥡣
mfjcz 积极因素 重要因素
mfjd 秵 𥢛
mfjf 䆆 稇
mfji 种 𥞺 𥣽
mfjj 䉩 稆 穑 穡 穯 𥢺 𥣱 𥤜
mfjk 䵗 稤 稫 𥢫 𥢷 𥰍
mfjl 稿 穚 𥞡 𥤉 𥵰
mfjm 稛 稦 𫃊
mfjn 𥤊
mfjnb 甜杏仁
mfjo 䄼 䅩 积 𥟹 𥱓
mfjp 𨨑
mfjq 䅌 𥟮 𪐉
mfjr 㘒 䅋 稅 税 簌 𥞏 𥡉 𫁢
mfjs 𥢍
mfju 䅱 𥣎 𥣸
mfjw 䅰 惒 𪐇 𪐊
mfjx 䅓
mfjy 稕 𨛫 𨝟
mfk 香
mfka 䆄 䆎 𥟨 𩐖 𩠺 𫂯
mfkb 種 穜 𡍺 𥣑 𥤐 𥷈 𪐈 𫁤
mfkc 𥟍
mfkd 利
mfkds 香格里拉
mfke 簟 𥠐 𥡖 𥢏 𥢔 𥴙 𩡝 𪏽
mfkf 䉓 梨 稞 𥣊 𩠽
mfkg 䫝 䵜 穠 𥡸
mfkh 𡣉 𥢧
mfki 䖽 秞 𤱜 𥞁 𥵉 𧒁 𫁚
mfkj 𨃾
mfkjn 积极影响
mfkk 㓿 䅛 䅫 䵒 馡 𠝲 𠞙 𠠍 𣇘 𥣬 𩡃 𪏰
mfkl 䭱 穦 馧 馪 𥞻 𥟬 𥡎 𥡏 𩡟 𪐆
mfkm 䆈 䵓 犁 秒 穉 𣮀 𥠀 𥠝 𥣲 𩡄 𫁮
mfkn 𩁄 𩁟 𫚐
mfko 稉 穔 𥣀
mfkp 穆 鋫 𥢣 𪏴
mfkq 䅢 䈾 稍 稩 𩡈 𫁩 𫁴
mfkr 䅥 䱘 稪 策略 馤 馥 𥞷 𥢸 𥴭 𥷱 𪁐 𪆜 𪏶 𪐒 𫙇
mfks 𪐖
mfku 穙 𤉉 𤉌 𤐧 𤐸 𤓜 𤓞 𥢦 𥣇 𥣈 𥣜 𩡅 𩡢
mfkv 𥝸
mfkw 悡 穂 邌 𢤂 𥣒 𫁬 𫁸
mfkx 𥟧 𩧸 𫁞
mfky 𠜣 𠡩 𡥬 𨞃 𨞒 𨟀
mfkz 䅖 䅹 穐 馣 𥡄 𥡌 𥡜 𪏮
mfl 箱
mfla 𥢃 𥣗
mflb 稱 𥠾 𥵡
mflc 租
mfld 秱 策 𥞖
mflg 秧 𥠄 𥠅 𥠚
mflh 𥢈
mflj 𥠁
mflk 盉 箣 簠 𥠉 𥢥 𥢶
mfll 㟀 秈 𥡺 𥢼 𥣌 𥤝 𥴹
mflm 𥢭 𥣝 𥰡 𩡡
mfln 𥶮
mflo 䄲 稹 𥟭 𥣉
mflr 䅐 秽 𥡽 𫁘
mflrg 生机盎然
mflt 穲
mflu 𤏤 𥤎 𥤛
mflv 𥡎
mflw 𥠳
mflwo 重要内容
mflx 䅼
mflz 䅻 黐 𥣭 𪐑 𫁭 𫙂
mfma 𣫽
mfmb 䄵 䅍 秹 𥝫 𥟚
mfmc 𤥹 𥴑
mfme 䄭 秊 秊 𠦿 𥟑 𫁙
mfmf 棃 秝 𥠊 𥠹
mfmg 秗 頺
mfmh 䅊 秅 秏 秺 𥝾
mfmi 䖿 秨 秳 𥤀
mfmj 𥞴
mfmk 䅨 䭳 秼 笨重 馫 𥠗 𩡊 𩡌 𩡐 𩡠 𪏿
mfml 睝 𥡘 𫁳
mfmm 牺牲 犂 𢮃 𣮋 𤛿
mfmn 䅤 𨿯 𫙃
mfmo 秩 𥯍
mfmp 錅
mfmq 𥟉
mfmr 鯬 鵹 𪁮 𪇺 𫛤
mfms 𥝥 𥠰
mfmtr 知根知底
mfmu 䊍 𪏹
mfmw 㥎 透 龝 𪛁
mfmx 𥟱 𥡝
mfmy 剓 𠃯 𠡴 𥝖 𥝬 𥞀 𥠥 𥡈 𨛲
mfmz 䅗 𥝠 𥟯 𥴟 𪏾 𫃋
mfn 籗
mfnb 𥟅
mfnc 䅣
mfnd 𥞂
mfndx 重要依据
mfne 稗 𥴖 𪐄
mfnf 穕 𫙆
mfng 𥗶
mfnh 𥣩
mfni 稚 籗 𥴛 𧕞
mfnj 𥡂
mfnk 䄸 𡤍 𥠘 𥣤
mfnl 𡿁
mfnlv 积极作用 重要作用
mfnm 犩
mfnml 复本位制
mfnn 籱
mfnr 𩡘
mfnry 重要任务
mfns 箱位 𥡐
mfnu 穛
mfnx 穫 𥞄 𥤘 𥤙 𥯻
mfny 𡦠
mfnz 𥣅
mfoa 𥢰
mfob 稑 𥢤
mfobz 积极行动
mfoc 𥵏 𫙁
mfod 秂
mfoe 稡 𡦧 𥝺 𥞯
mfog 𥢡
mfoi 𥞧 𥡬
mfoj 穃 𥢑 𧯄 𫎽
mfok 㴝 黍 黎 𥟖 𥡁 𥣥 𥣵 𪏭 𪐅 𪐐
mfol 䅬 𥠺 𥣪 𥤒 𥤟 𫁶
mfom 䄹 䅷 稌 𥠛 𥣆 𥷭 𪻛
mfon 𥝵 𥞙 𥠸
mfoo 䅘 䉹 穪 箂 𥞵 𥟰 𥡠 𥡹 𥢡 𥢰 𥤞 𩡙 𫁹
mfop 穇 穋 𥤇 𥶠 𫁷
mfor 䴻 稄 稜 稯 稷 𥢄
mfot 𥝨
mfou 𢢃 𥟦 𥠖 𥢩
mfow 䉖 秢 𥢴 𩡁
mfoy 秎 馚 𩡉
mfoya 积极分子
mfoz 𥝶 𥠞 𥯆
mfpcd 篮板球
mfpd 𥝞 𥝹 𥮥
mfpf 𥟩
mfpi 𥠱
mfpk 𥢌 𥣳
mfpn 䵚 稻
mfpx 𥯈
mfpy 稃 馟
mfpz 䅑
mfq 䄴
mfqb 𥡾
mfqc 𥠢
mfqd 秃 𥱍
mfqf 𥞛
mfqg 頽 颓 𥟺
mfqk 𥠕 𫁟
mfql 𥞇
mfqm 𢵥 𢽈
mfqn 𨿖
mfqp 𨩂
mfqq 稝
mfqr 䆇 鵚 𪉍
mfqs 秇 𥝳 𥡩 𥰳
mfqx 𥝻
mfqy 秇 𥰳 𨟝 𩡏
mfqz 𡡏
mfr 移
mfra 𣒧
mfrb 穄
mfrc 𩡇
mfrd 禿
mfrg 頹
mfrh 秖
mfri 𥣋
mfrj 䅂 䈷 簵 𥞸 𥠑 𥢀 𥸐
mfrk 䅀 䅲 䅾 剩 称 稽 穞 穭 𥟠 𥟴 𥟻 𥠻 𥡞
mfrl 䆅 穳 籁 籟 𥣶 𧤙
mfrm 𥝢 𥞜 𥞢 𥣡 𥣿 𪏯 𫁪
mfrn 稭 穧 𩀒
mfrnm 重要条件
mfro 䵘 簐 𠝯 𥝤 𥟘 𥠜 𥡓 𪏵
mfrq 𥞼 𥠿 𥢓
mfrr 䅙 䆉 䵙 秕 移 𥝓 𥠨 𪅨 𪐀
mfrs 䄪 秪 𥝘
mfrw 䆋 𪚼
mfrx 𥣾 𥤈 𫁜
mfry 𥟶 𥠈 𨝄
mfryu 手榴弹
mfrz 䅳 穒 𥠎 𥡚 𫛺
mfs 秫 𫁖
mfsbj 重整旗鼓
mfsbz 积极主动
mfsc 𥡒 𥯸 𪝴
mfse 𥞽
mfsgj 重要方面
mfsh 𥝕
mfsi 䆍
mfsj 稖 𥳖
mfsk 䅧 𥞞 𥟵
mfsl 𥞑 𥞿
mfsm 𥢹
mfsn 𥡃
mfsq 秔 𥮕
mfsr 𧚩 𫍈
mfssm 重要讲话
mfsso 积极意义 重要意义
mfsu 𥞯 𥢯
mfsw 𥠡 𥡥 𥵅 𪐁 𫁧
mfswh 手术室
mfsx 稂 𩠻
mfsy 䄱
mfsyd 手术刀
mfsz 𥟣 𥡍
mfte 科 𥡿
mftg 穬
mftka 重要问题
mftr 䅆 乘
mftu 穮
mftv 策应
mfua 𥞉
mfub 秚 𥣺
mfuc 𫆾
mfue 𥞩
mfuf 醔 𥞪 𥞫
mfug 穟 𥠂 𥠦 𥢁
mfui 蝵
mfuj 𥢗
mfuk 湬 稥
mful 㡑 𥡦 𧡣 𩡚 𪐏
mfum 揫
mfun 䨂 𩠨
mfuo 秋 𤇕 𤇫
mfup 鍫
mfur 鶖 鹙 𩹤 𪃩
mfuu 䅵 𤋦 𥟢
mfuw 䵸 愁 𪔁
mfux 䆂 稴 馦 𪐋
mfuy 䅚 稊 𡥻 𥟆 𥟎 𪐂
mfuya 看样子
mfuz 媝 𦂎
mfvb 𥢳
mfve 𥢐
mfvr 䄻 𥰜 𩡂 𫁠
mfvs 𥟇
mfvum 重要性
mfvv 𥝌
mfw 穗
mfwa 𥠣 𥢿
mfwai 矫枉过正
mfwb 䅝 䉘 𥟡 𥡶
mfwd 𥟐
mfwf 𣝟 𥣐 𪐍
mfwg 稼
mfwh 𥡫
mfwi 𥟓
mfwj 𥤍
mfwl 稨 𥠒
mfwm 秘 穗选 馝 𪏺
mfwn 𥡈
mfwno 特惠价
mfwpx 物极必反
mfwr 秾 𥝴 𥞒 𥡔 𥣁 𥣯 𩡣
mfws 䅭 𥣰 𥤓
mfwu 𥤚 𥷻 𪺳
mfwy 馞 𥞳 𥟓 𥢒
mfwz 䅴 𢘳 𥞬 𫃑
mfxb 䵛 秉 𥞓 𥞭 𥞰 𥴍 𫁰
mfxd 穱 𥤏
mfxe 𥝦 𥟷 𪏲
mfxg 策骑 𥝭 𥣙
mfxh 𥟽
mfxi 秛 𥝱 𥣖
mfxj 䅮 䅯 馠 𥟊 𥲐
mfxk 穅 𥞾 𥟤 𥢋 𥷗
mfxl 𥡲 𥶥
mfxm 䅏
mfxo 𥡕 𦫌 𫁫
mfxq 𩡜
mfxr 秜 馜 𪏸
mfxs 秡 稺 馛 𥝐 𥣣 𥣦
mfxu 𥠧 𥢽 𥣔 𥣹
mfxw 稔 稳 穏 穩 𥡷 𥣴
mfxx 𥟒 𥣨
mfxy 𥣮
mfxz 𥣨
mfy 䄦 範 𥞐
mfya 季 秄 箱子 𥝔
mfyd 𥝎 𫂴
mfye 𥝡
mfyg 稧
mfyh 𥞔
mfyi 䄬 𥝧 𥝼
mfyj 𥝿 𫁨
mfyk 籕 𥞲 𥠷
mfyl 𥢱
mfym 䄧 䅎 秀 𥟄 𫁝 𫙄
mfyn 䄶 𥣞
mfys 䵑 瓾 甃 籈 𤭜 𥡪 𥶸
mfyu 𤐏 𥢬
mfyum 积极性
mfyy 䄫 䅄 範 𠃷 𥝗 𥞮 𥡇 𥢨 𩡆 𩡒 𩡓
mfyz 𥝙 𥢪 𪏼 𪏾
mfz 委 𥝏
mfzb 𥟯
mfze 𥟋 𥡢
mfzf 𥠓 𩡦
mfzg 䫋 𥟔 𫁯
mfzi 𠚉
mfzj 秮 𥞚
mfzk 䅔 稸 𡮒 𩡥
mfzl 覣 𥠃 𩡎 𩡤 𫙂 𫙈
mfzm 䄿 委
mfzn 魏 𥞙 𥠸 𥣼
mfzo 𥞨 𩡀
mfzpk 氯酸钾
mfzq 𥟮 𥣍 𩗯
mfzr 𥝲 𥞕 𥞝 𥠴 𥡽
mfzs 私 𥮔
mfzu 𥣏 𥣟 𥤆
mfzw 逶 𥣓
mfzx 𥤅
mfzxo 重要经验
mfzyj 积极参加
mfzz 䭯 稵 𥝮 𥞃
mg 重大
mga 犄
mgagu 生石灰
mgaor 生态平衡
mgapv 科研所
mgasj 科研部
mgaux 千奇百怪
mgb 圱
mgba 稽考
mgbb 𥯅
mgbcz 稀有元素
mgbel 重大贡献
mgbi 𥬢
mgbl 𧶓
mgbla 科研项目
mgbnm 科研工作
mgbnr 血压低
mgbr 𠿻
mgbse 气压计 血压计
mgbsj 血压高
mgcbs 生态环境
mgch 𥱫
mgcj 𠷷
mgcx 𠮋
mgd 夭
mgdej 重大事故
mgdmo 重大损失
mge 犡
mged 𥫲
mgee 𢍃
mgem 𣭹
mgeo 𥯺
mgeux 稀奇古怪
mgex 𢻤 𢻨
mgfa 乔木
